date,governorate_name,governorate_ID,district_name,district_ID,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,exchange_rate
3/1/2019,Al Dhale'e,YE30,Qa'atabah,YE3003,330,380,120,100,213,80,550,2000,544
3/1/2019,Al Dhale'e,YE30,Ad Dhale'e,YE3006,325,375,100,100,208,75,500,2500,545
3/1/2019,Socotra,YE32,Hidaybu,YE3201,230,230,120,NA,160,140,700,900,560
4/1/2019,Amanat Al Asimah,YE13,Shu'aub,YE1302,365,430,100,85,110,100,600,1333,525
4/1/2019,Amanat Al Asimah,YE13,Az'zal,YE1303,365,430,100,80,100,100,575,1333,525
4/1/2019,Amanat Al Asimah,YE13,Al Wahdah,YE1306,365,430,100,80,100,100,550,1500,525
4/1/2019,Amanat Al Asimah,YE13,Ath'thaorah,YE1309,365,430,100,300,150,100,480,1800,520
4/1/2019,Amanat Al Asimah,YE13,Bani Al Harith,YE1310,NA,430,100,70,150,110,500,1150,505
4/1/2019,Al Bayda,YE14,Rada',YE1413,750,700,120,100,130,150,630,4500,510
4/1/2019,Taizz,YE15,Al  Mukha,YE1505,380,380,102.5,120,115.5,100,356.5,NA,505
4/1/2019,Taizz,YE15,Jabal Habashy,YE1508,400,395,130,100,150,73,469,1683,511
4/1/2019,Taizz,YE15,Dimnat Khadir,YE1512,425,430,125,100,186,120,550,2000,514.5
4/1/2019,Taizz,YE15,As Silw,YE1513,500,500,150,NA,180,150,700,NA,550
4/1/2019,Taizz,YE15,Ash Shamayatayn,YE1514,390,390,100,100,105,67,437.5,3500,510
4/1/2019,Taizz,YE15,At Ta'iziyah,YE1520,425,430,130,100,170,130,550,2000,517
4/1/2019,Taizz,YE15,Al Ma'afer,YE1521,400,400,120,100,130,100,550,2000,NA
4/1/2019,Taizz,YE15,Al Mawasit,YE1522,425,415,120,100,120,110,500,1600,NA
4/1/2019,Hajjah,YE17,Qafl Shamer,YE1713,650,440,100,125,130,86,550,3000,510
4/1/2019,Hajjah,YE17,Al Mahabishah,YE1715,750,440,120,175,150,100,600,7000,510
4/1/2019,Hajjah,YE17,Ku'aydinah,YE1722,NA,NA,120,120,117.5,130,525,3250,490
4/1/2019,Hajjah,YE17,Bani Qa'is,YE1724,NA,NA,125,NA,150,120,500,3000,505
4/1/2019,Hajjah,YE17,Najrah,YE1726,365,NA,120,NA,147.5,100,500,NA,505
4/1/2019,Al Hudaydah,YE18,Alluheyah,YE1802,660,660,120,150,150,100,550,4000,510
4/1/2019,Al Hudaydah,YE18,Al Qanawis,YE1806,430,430,120,150,140,100,550,2500,510
4/1/2019,Al Hudaydah,YE18,Az Zaydiyah,YE1807,NA,NA,130,120,130,150,350,1250,500
4/1/2019,Al Hudaydah,YE18,Bajil,YE1810,NA,NA,120,60,100,80,350,850,515
4/1/2019,Al Hudaydah,YE18,Bayt Al Faqiah,YE1817,NA,NA,140,100,120,75,350,1750,518
4/1/2019,Al Hudaydah,YE18,Al Khawkhah,YE1820,390,390,110,100,111,100,340,2000,500
4/1/2019,Al Hudaydah,YE18,Zabid,YE1824,NA,NA,150,NA,140,140,380,NA,525
4/1/2019,Dhamar,YE20,Wusab As Safil,YE2007,875,938,140,400,120,140,750,3500,525
4/1/2019,Shabwah,YE21,Ataq,YE2113,360,365,100,100,100,120,500,960,510
4/1/2019,Shabwah,YE21,Habban,YE2114,350,350,100,100,140,120,500,3000,510
4/1/2019,Sa'ada,YE22,Monabbih,YE2203,400,400,150,NA,170,150,700,500,510
4/1/2019,Sa'ada,YE22,Ghamr,YE2204,490,400,200,NA,100,190,700,1200,515
4/1/2019,Sa'ada,YE22,Razih,YE2205,480,400,100,NA,150,180,750,1000,515
4/1/2019,Sa'ada,YE22,Saqayn,YE2209,650,600,140,100,100,150,570,3500,520
4/1/2019,Sana'a,YE23,Hamdan,YE2301,365,430,100,60,150,100,500,950,520
4/1/2019,Sana'a,YE23,Arhab,YE2302,365,430,100,70,150,100,500,1400,527.5
4/1/2019,Sana'a,YE23,Nihm,YE2303,NA,450,100,NA,150,110,500,1500,NA
4/1/2019,Sana'a,YE23,Bani Hushaysh,YE2304,365,430,100,70,150,100,500,1125,520
4/1/2019,Sana'a,YE23,Sanhan,YE2305,850,750,120,100,120,150,600,4500,520
4/1/2019,Sana'a,YE23,Bani Matar,YE2307,700,600,130,100,100,150,580,4200,550
4/1/2019,Sana'a,YE23,Khwlan,YE2312,365,430,100,NA,150,100,500,2000,525
4/1/2019,Aden,YE24,Al Buraiqeh,YE2404,315,365,150,175,150,100,600,3250,500
4/1/2019,Aden,YE24,Khur Maksar,YE2408,315,NA,125,100,120,75,425,5000,520
4/1/2019,Lahj,YE25,Al Milah,YE2508,NA,350,150,NA,150,150,500,1500,509
4/1/2019,Lahj,YE25,Tuban,YE2515,315,370,150,130,95,100,550,500,512.5
4/1/2019,Amran,YE29,Jabal Iyal Yazid,YE2912,365,430,110,450,150,109,833,1200,523
4/1/2019,Amran,YE29,Amran,YE2915,365,430,110,300,150,91,791.5,900,523
4/1/2019,Socotra,YE32,Hidaybu,YE3201,235,235,130,NA,150,130,650,800,500
