"district_ID","district_name","country_name.y","country_ID.y","governorate_ID.y","governorate_name.y","type_area","Norm_Dist_Mean","Norm_Price_Mean","Norm_Dist_Median","Norm_Price_Median","Dist_Quart_Score_Mean","Price_Quart_Score_Mean","Tot_Quart_Score_Mean","Dist_Quart_Score_Med","Price_Quart_Score_Med","Tot_Quart_Score_Med.y","Single_Score_Mean","Single_Score_Med"
"YE2304","Bani Hushaysh","Yemen","YE","YE23","Sana'a","Urban",9,1125,9,1125,"Med","Low","Med Low","Med","Low","Med Low",94.0476190476191,94.0476190476191
"YE2305","Sanhan","Yemen","YE","YE23","Sana'a","Urban",6.66666666666667,4333.33333333333,7,4500,"Low","High","Low High","Med","High","Med High",701.111111111111,683.333333333333
"YE2307","Bani Matar","Yemen","YE","YE23","Sana'a","Urban",7.66666666666667,4166.66666666667,7,4200,"Med","High","Med High","Med","High","Med High",570.833333333333,566.666666666667
"YE2312","Khwlan","Yemen","YE","YE23","Sana'a","Rural",2,1833.33333333333,2,2000,"Low","Med","Low Med","Low","Med","Low Med",Inf,1600
"YE2404","Al Buraiqeh","Yemen","YE","YE24","Aden","Urban",10,3250,10,3250,"Med","High","Med High","Med","High","Med High",316.666666666667,316.666666666667
"YE2408","Khur Maksar","Yemen","YE","YE24","Aden","Urban",10,5000,10,5000,"Med","High","Med High","Med","High","Med High",511.111111111111,511.111111111111
"YE2508","Al Milah","Yemen","YE","YE25","Lahj","Rural",12,1500,12,1500,"Med","Med","Med Med","Med","Med","Med Med",100,100
"YE2515","Tuban","Yemen","YE","YE25","Lahj","Urban",12.5,500,12.5,500,"Med","Low","Med Low","Med","Low","Med Low",9.12698412698413,9.12698412698413
"YE2912","Jabal Iyal Yazid","Yemen","YE","YE29","Amran","Urban",10,1200,10,1200,"Med","Med","Med Med","Med","Med","Med Med",88.8888888888889,88.8888888888889
"YE2915","Amran","Yemen","YE","YE29","Amran","Urban",10,900,10,900,"Med","Low","Med Low","Med","Low","Med Low",55.5555555555556,55.5555555555556
"YE3201","Hidaybu","Yemen","YE","YE32","Socotra","Urban",20,800,20,800,"High","Low","High Low","High","Low","High Low",21.0526315789474,21.0526315789474
