"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","price_petrol_normalised","price_diesel_normalised","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",325,420,100,60,145,100,500,1150,1522.5,2000,1000,3622.5,8145
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",400,400,120,120,144,180,600,5000,1512,3600,1200,15750,22062
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",325,375,100,NA,150,100,500,1800,1575,2000,1000,5670,10245
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",275,310,130,150,200,90.90909091,575,2500,2100,1818.1818182,1150,7875,12943.1818182
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",275,NA,130,75,120,136.3636364,500,NA,1260,2727.272728,1000,NA,NA
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",275,300,150,NA,150,63.63636364,600,1500,1575,1272.7272728,1200,4725,8772.7272728
"YE2515","Yemen","YE","YE25","Lahj","Tuban",275,305,110,150,150,90.90909091,600,250,1575,1818.1818182,1200,787.5,5380.6818182
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",335,392.5,115,250,120,90.90909091,550,950,1260,1818.1818182,1100,2992.5,7170.6818182
"YE2915","Yemen","YE","YE29","Amran","Amran",325,375,110,147.727272725,135,100.000000005,500,850,1417.5,2000.0000001,1000,2677.5,7095.0000001
"YE3003","Yemen","YE","YE30","Al Dhale'e","Qa'atabah",300,310,120,100,156,80,550,2000,1638,1600,1100,6300,10638
"YE3006","Yemen","YE","YE30","Al Dhale'e","Ad Dhale'e",275,300,110,100,192,80,500,2250,2016,1600,1000,7087.5,11703.5
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",235,230,100,100,100,80,600,1000,1050,1600,1200,3150,7000
