"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE1302","Yemen","YE","YE13","Amanat Al Asimah","Shu'aub",365,430,100,85,110,100,600,1333,1155,2000,1200,4198.95,8553.95
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",365,430,100,80,100,100,575,1333,1050,2000,1150,4198.95,8398.95
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",365,430,100,80,100,100,550,1500,1050,2000,1100,4725,8875
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",365,430,100,300,150,100,480,1800,1575,2000,960,5670,10205
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",NA,430,100,70,150,110,500,1150,1575,2200,1000,3622.5,8397.5
"YE1413","Yemen","YE","YE14","Al Bayda","Rada'",750,700,120,100,130,150,630,4500,1365,3000,1260,14175,19800
"YE1505","Yemen","YE","YE15","Taizz","Al  Mukha",380,380,102.5,120,115.5,100,356.5,NA,1212.75,2000,713,6300,10225.75
"YE1508","Yemen","YE","YE15","Taizz","Jabal Habashy",400,395,130,100,150,73,469,1683,1575,1460,938,5301.45,9274.45
"YE1512","Yemen","YE","YE15","Taizz","Dimnat Khadir",425,430,125,100,186,120,550,2000,1953,2400,1100,6300,11753
"YE1513","Yemen","YE","YE15","Taizz","As Silw",500,500,150,NA,180,150,700,NA,1890,3000,1400,6300,12590
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",390,390,100,100,105,67,437.5,3500,1102.5,1340,875,11025,14342.5
"YE1520","Yemen","YE","YE15","Taizz","At Ta'iziyah",425,430,130,100,170,130,550,2000,1785,2600,1100,6300,11785
"YE1521","Yemen","YE","YE15","Taizz","Al Ma'afer",400,400,120,100,130,100,550,2000,1365,2000,1100,6300,10765
"YE1522","Yemen","YE","YE15","Taizz","Al Mawasit",425,415,120,100,120,110,500,1600,1260,2200,1000,5040,9500
"YE1713","Yemen","YE","YE17","Hajjah","Qafl Shamer",650,440,100,125,130,86,550,3000,1365,1720,1100,9450,13635
"YE1715","Yemen","YE","YE17","Hajjah","Al Mahabishah",750,440,120,175,150,100,600,7000,1575,2000,1200,22050,26825
"YE1722","Yemen","YE","YE17","Hajjah","Ku'aydinah",NA,NA,120,120,117.5,130,525,3250,1233.75,2600,1050,10237.5,15121.25
"YE1724","Yemen","YE","YE17","Hajjah","Bani Qa'is",NA,NA,125,NA,150,120,500,3000,1575,2400,1000,9450,14425
"YE1726","Yemen","YE","YE17","Hajjah","Najrah",365,NA,120,NA,147.5,100,500,NA,1548.75,2000,1000,9843.75,14392.5
"YE1802","Yemen","YE","YE18","Al Hudaydah","Alluheyah",660,660,120,150,150,100,550,4000,1575,2000,1100,12600,17275
"YE1806","Yemen","YE","YE18","Al Hudaydah","Al Qanawis",430,430,120,150,140,100,550,2500,1470,2000,1100,7875,12445
"YE1807","Yemen","YE","YE18","Al Hudaydah","Az Zaydiyah",NA,NA,130,120,130,150,350,1250,1365,3000,700,3937.5,9002.5
"YE1810","Yemen","YE","YE18","Al Hudaydah","Bajil",NA,NA,120,60,100,80,350,850,1050,1600,700,2677.5,6027.5
"YE1817","Yemen","YE","YE18","Al Hudaydah","Bayt Al Faqiah",NA,NA,140,100,120,75,350,1750,1260,1500,700,5512.5,8972.5
"YE1820","Yemen","YE","YE18","Al Hudaydah","Al Khawkhah",390,390,110,100,111,100,340,2000,1165.5,2000,680,6300,10145.5
"YE1824","Yemen","YE","YE18","Al Hudaydah","Zabid",NA,NA,150,NA,140,140,380,NA,1470,2800,760,5906.25,10936.25
