"governorate_name","fuel_restock_days_min","wash_restock_days_min"
"Aden",2,4.125
"Al Bayda",1.66666666666667,5.33333333333333
"Al Hudaydah",3.9,4.96551724137931
"Amanat Al Asimah",22.2,5.22727272727273
"Amran",6.33333333333333,2
"Dhamar",8.22222222222222,4.66666666666667
"Hajjah",4,4
"Lahj",6.8,6
"Sa'ada",7,6.77777777777778
"Sana'a",23.7037037037037,2.74074074074074
"Shabwah",3,1.5
"Socotra",3.33333333333333,2.33333333333333
"Taizz",3.09375,2.9375
