"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",365,450,120,100,200,200,550,5000,2100,4000,1100,15750,22950
"YE2211","Yemen","YE","YE22","Sa'ada","Sahar",375,435,110,310,100,100,1000,800,1050,2000,2000,2520,7570
"YE2215","Yemen","YE","YE22","Sa'ada","Sa'adah",365,430,120,200,150,130,500,1000,1575,2600,1000,3150,8325
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",365,440,100,60,150,100,500,850,1575,2000,1000,2677.5,7252.5
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",365,430,100,70,150,100,500,1375,1575,2000,1000,4331.25,8906.25
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",370,450,100,NA,160,100,520,1300,1680,2000,1040,4095,8815
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",365,430,100,60,150,100,500,1100,1575,2000,1000,3465,8040
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",370,450,140,100,120,150,600,4500,1260,3000,1200,14175,19635
"YE2307","Yemen","YE","YE23","Sana'a","Bani Matar",365,450,140,100,120,150,600,4500,1260,3000,1200,14175,19635
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",365,430,100,NA,150,100,500,2000,1575,2000,1000,6300,10875
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",290,355,150,100,150,150,525,1000,1575,3000,1050,3150,8775
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",290,NA,125,70,120,136,500,5000,1260,2720,1000,15750,20730
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",325,375,150,NA,150,118,550,2000,1575,2360,1100,6300,11335
"YE2515","Yemen","YE","YE25","Lahj","Tuban",300,375,150,100,150,91,550,1000,1575,1820,1100,3150,7645
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",365,430,120,350,150,109,833,1000,1575,2180,1666,3150,8571
"YE2915","Yemen","YE","YE29","Amran","Amran",365,430,120,200,150,100,625,900,1575,2000,1250,2835,7660
"YE3003","Yemen","YE","YE30","Al Dhale'e","Qa'atabah",330,380,120,100,213,80,550,2000,2236.5,1600,1100,6300,11236.5
"YE3006","Yemen","YE","YE30","Al Dhale'e","Ad Dhale'e",325,375,100,100,208,75,500,2500,2184,1500,1000,7875,12559
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",230,230,120,NA,160,140,700,900,1680,2800,1400,2835,8715
