"question","freq","percent","percentofcases"
"dmg_infra_market",30,20,31.5789473684211
"dmg_infra_sorrounding",42,28,44.2105263157895
"dmg_storage",16,10.6666666666667,16.8421052631579
"move_restriction",44,29.3333333333333,46.3157894736842
"other",8,5.33333333333333,8.42105263157895
"did_not_answer",10,6.66666666666667,10.5263157894737
"Total",150,100,157.894736842105
