"governorate_ID","governorate_name","district_ID","district_name","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total","index"
"YE23","Sana'a","YE2304","Bani Hushaysh",154.6666667,110,500,1150,1624.00000035,2200,1000,3622.5,8446.50000035,1
"YE23","Sana'a","YE2312","Khwlan",160,80,500,2000,1680,1600,1000,6300,10580,1
"YE24","Aden","YE2404","Al Buraiqeh",171.4285714,122.7272728,500,2125,1799.9999997,2454.545456,1000,6693.75,11948.2954557,1
"YE24","Aden","YE2408","Khur Maksar",137.1428571,122.7272728,525,5000,1439.99999955,2454.545456,1050,15750,20694.54545555,1
"YE25","Lahj","YE2508","Al Milah",171.4285714,63.63636364,600,370,1799.9999997,1272.7272728,1200,1165.5,5438.2272725,1
"YE25","Lahj","YE2515","Tuban",165.7142857,45.45454545,550,250,1739.99999985,909.090909,1100,787.5,4536.59090885,1
"YE29","Amran","YE2912","Jabal Iyal Yazid",137.1428571,90.90909091,575,1000,1439.99999955,1818.1818182,1150,3150,7558.18181775,1
"YE29","Amran","YE2915","Amran",137.1428571,90.90909091,500,900,1439.99999955,1818.1818182,1000,2835,7093.18181775,1
"YE30","Al Dhale'e","YE3003","Qa'atabah",230.4,80,600,2500,2419.2,1600,1200,7875,13094.2,1
"YE30","Al Dhale'e","YE3006","Ad Dhale'e",217.2,76.36363637,500,2250,2280.6,1527.2727274,1000,7087.5,11895.3727274,1
"YE32","Socotra","YE3201","Hidaybu",96,110,600,1200,1008,2200,1200,3780,8188,1
