"date","district_ID","governorate_ID","governorate_name","district_name","price_petrol_normalised","price_diesel_normalised","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","exchange_rate"
2019-01-01,"YE1519","YE15","Taizz","Salh",-12.5,-12.5,-20,-21.4285714285714,-36,5.26315789473684,9.09090909090908,160,12.0192307692308
2018-01-12,"YE1521","YE15","Taizz","Al Maafer",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1521","YE15","Taizz","Al Ma'afer",-7.14285714285714,-4.41176470588235,25,0,42.8571428333333,0,40,-45,9.18367346938775
2018-01-12,"YE1522","YE15","Taizz","Al Mawasit",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1522","YE15","Taizz","Al Mawasit",-6.84931506849316,-2.85714285714286,12.5,0,2.85714286666667,-16.6666666727778,13.6363636363636,50,18.3673469387755
2018-01-12,"YE1610","YE16","Al Jawf","Bart Al Anan",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1610","YE16","Al Jawf","Bart Al Anan",-8.04597701149426,-15.7894736842105,0,1.66666666666666,-1.90476190476191,4.76190476190477,0,-37.5,13.1313131313131
2018-01-12,"YE1704","YE17","Hajjah","Abs",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1704","YE17","Hajjah","Abs",2.38095238095237,-4.44444444444444,0,0,-30.3703703333333,0,6.25,-16.6666666666667,0.980392156862742
2018-01-12,"YE1712","YE17","Hajjah","Aslem",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1712","YE17","Hajjah","Aslem",-3.52941176470588,-31.6666666666667,-7.69230769230769,-28.5714285714286,-55.5555555555556,-11.1111111111111,12.5,-16.6666666666667,8.16326530612246
2018-01-12,"YE1713","YE17","Hajjah","Qafl Shamer",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1713","YE17","Hajjah","Qafl Shamer",-4.54545454545454,-5.61797752808989,-16.6666666666667,36.3636363636364,-14.6666666666667,-29.2929292888889,7.14285714285714,22.2222222222222,10.6382978723404
2018-01-12,"YE1715","YE17","Hajjah","Al Mahabishah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1715","YE17","Hajjah","Al Mahabishah",-8.88888888888889,-7.86516853932584,-33.3333333333333,0,28,-28.57142857,-14.2857142857143,106.896551724138,10.6382978723404
2018-01-12,"YE1722","YE17","Hajjah","Kuaydinah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1722","YE17","Hajjah","Ku'aydinah",-4.54545454545454,-9.47368421052631,0,0,9.71428567999999,-16.6666666727778,-4.34782608695652,-23.8095238095238,3
2018-01-12,"YE1724","YE17","Hajjah","Bani Qais",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1724","YE17","Hajjah","Bani Qa'is",-5.74712643678161,-13.6842105263158,0,NA,42.8571428333333,-49.9999999945,NA,33.3333333333333,4.95049504950495
2018-01-12,"YE1726","YE17","Hajjah","Najrah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1726","YE17","Hajjah","Najrah",-5.74712643678161,-14.5833333333333,0,NA,5.49450546153845,-49.9999999945,-28.5714285714286,-33.3333333333333,4.95049504950495
2018-01-12,"YE1801","YE18","Al Hudaydah","Az Zuhrah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1801","YE18","Al Hudaydah","Az Zuhrah",5.88235294117647,-25,-7.69230769230769,-28.5714285714286,-5.18518516666666,11.1111111111111,0,0,6.12244897959184
2018-01-12,"YE1802","YE18","Al Hudaydah","Alluheyah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1802","YE18","Al Hudaydah","Alluheyah",6.9767441860465,6.9767441860465,-20,50,14.8717948461538,-8.33333333333334,30,20,6.00000000000001
2018-01-12,"YE1806","YE18","Al Hudaydah","Al Qanawis",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1806","YE18","Al Hudaydah","Al Qanawis",-5.61797752808989,-2.32558139534884,-20,50,-14.6666666666667,-35.0649350642857,20,10,6.00000000000001
2018-01-12,"YE1807","YE18","Al Hudaydah","Az Zaydiyah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1807","YE18","Al Hudaydah","Az Zaydiyah",-5.74712643678161,-13.6842105263158,-13.3333333333333,100,31.8681318461538,9.09090910000001,0,-33.3333333333333,1.9047619047619
2018-01-12,"YE1810","YE18","Al Hudaydah","Bajil",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1810","YE18","Al Hudaydah","Bajil",-5.74712643678161,-13.6842105263158,0,18.5185185185185,23.0769230769231,-11.1111111563786,0,20,-1.90476190476191
2019-01-01,"YE1813","YE18","Al Hudaydah","Al Marawi'ah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1817","YE18","Al Hudaydah","Bayt Al Faqiah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1819","YE18","Al Hudaydah","Hays",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE1820","YE18","Al Hudaydah","Al Khawkhah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1820","YE18","Al Hudaydah","Al Khawkhah",-8.33333333333334,-8.33333333333334,0,25,15.5555555833333,-8.33333333333334,-13.8461538461538,NA,5.6
2018-01-12,"YE1824","YE18","Al Hudaydah","Zabid",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE1824","YE18","Al Hudaydah","Zabid",-4.19161676646707,0,25,NA,-6.66666666666667,19.1666666567361,900,NA,16.3265306122449
2019-01-01,"YE1826","YE18","Al Hudaydah","At Tuhayat",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2007","YE20","Dhamar","Wusab As Safil",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2007","YE20","Dhamar","Wusab As Safil",-4.53460620525059,-13.4020618556701,0,-20,9.09090909090908,-7.69230769230769,-18.4615384615385,-33.3333333333333,NA
2018-01-12,"YE2008","YE20","Dhamar","Dhamar City",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2008","YE20","Dhamar","Dhamar City",3.79746835443038,-7.86516853932584,0,-5,33.3333333333333,-20,2.04081632653061,0,10
2019-01-01,"YE2113","YE21","Shabwah","Ataq",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2114","YE21","Shabwah","Habban",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2203","YE22","Sa'ada","Monabbih",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2204","YE22","Sa'ada","Ghamr",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2205","YE22","Sa'ada","Razih",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2209","YE22","Sa'ada","Saqayn",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2209","YE22","Sa'ada","Saqayn",-11.7647058823529,-18.1818181818182,0,172.727272727273,-25,25,-20.353982300885,381.481481481481,10.2040816326531
2018-01-12,"YE2211","YE22","Sa'ada","Sahar",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2211","YE22","Sa'ada","Sahar",-4.59770114942529,-17.4129353233831,-23.0769230769231,275,15.7894736842105,16.6666666666667,NA,-52.5,12.8712871287129
2018-01-12,"YE2215","YE22","Sa'ada","Saadah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2215","YE22","Sa'ada","Sa'adah",-4.59770114942529,-21.6981132075472,-16.6666666666667,300,0,NA,NA,-55,12
2018-01-12,"YE2301","YE23","Sana'a","Hamdan",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2301","YE23","Sana'a","Hamdan",1.20481927710843,-9.87124463519313,0,10,10.3448275862069,0,0,-11.1111111111111,13.4020618556701
2018-01-12,"YE2302","YE23","Sana'a","Arhab",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2302","YE23","Sana'a","Arhab",3.79746835443038,-8.88888888888889,0,33.3333333333333,10.3448275862069,10,0,-10,8.41584158415842
2018-01-12,"YE2303","YE23","Sana'a","Nihm",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2303","YE23","Sana'a","Nihm",13.9240506329114,-5.26315789473685,-16.6666666666667,NA,14.2857142857143,0,-9.09090909090909,-12.5,NA
2018-01-12,"YE2304","YE23","Sana'a","Bani Hushaysh",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2304","YE23","Sana'a","Bani Hushaysh",-1.79640718562875,-13.6842105263158,5,16.6666666666667,6.66666668965519,4.76190476190477,-1.96078431372549,2.22222222222221,16.8041237113402
2018-01-12,"YE2305","YE23","Sana'a","Sanhan",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2307","YE23","Sana'a","Bani Matar",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2312","YE23","Sana'a","Khwlan",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2312","YE23","Sana'a","Khwlan",3.79746835443038,-7.86516853932584,0,NA,6.66666666666667,-20,-12.280701754386,0,12
2018-01-12,"YE2316","YE23","Sana'a","Jihanah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2404","YE24","Aden","Al Buraiqeh",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2404","YE24","Aden","Al Buraiqeh",3.53982300884956,NA,-10,0,14.2857142666667,-9.99999997066666,-9.09090909090909,112.5,10.4166666666667
2018-01-12,"YE2408","YE24","Aden","Khur Maksar",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2408","YE24","Aden","Khur Maksar",-3.50877192982456,NA,15.3846153846154,-10.3448275862069,5.49450546153845,-9.99999997066666,-4.54545454545454,0,9.375
2018-01-12,"YE2508","YE25","Lahj","Al Milah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2508","YE25","Lahj","Al Milah",NA,-3.125,0,NA,42.8571428333333,0,20,-75.3333333333333,4.31372549019609
2018-01-12,"YE2515","YE25","Lahj","Tuban",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2515","YE25","Lahj","Tuban",7.01754385964912,7.01754385964912,0,100,27.4725274615385,-55.5555555718519,-15.3846153846154,25,8.16326530612246
2019-01-01,"YE2912","YE29","Amran","Jabal Iyal Yazid",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE2915","YE29","Amran","Amran",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE2915","YE29","Amran","Amran",-5.74712643678161,-13.6842105263158,-4.76190476190477,20,14.28571425,0,-4.76190476190477,-10,8.91089108910892
2018-01-12,"YE2918","YE29","Amran","Iyal Surayh",NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-12,"YE3003","YE30","Al Dhale'e","Qaatabah",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE3003","YE30","Al Dhale'e","Qa'atabah",NA,NA,NA,-37.5,53.6,-12.00000000088,20,25,18.4444444444444
2018-01-12,"YE3006","YE30","Al Dhale'e","Ad Dhalee",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE3006","YE30","Al Dhale'e","Ad Dhale'e",-25,-25,NA,-2.5,40.1290322580645,-19.9999999979048,0,-10,11.578947368421
2018-01-12,"YE3201","YE32","Socotra","Hidaybu",NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-01,"YE3201","YE32","Socotra","Hidaybu",50,-3.2258064516129,-28.5714285714286,NA,-33.7931034482759,-4.34782608695652,0,0,1.96078431372548
