"","question","freq","percent","percentofcases"
"1","road",50,30.6748466257669,84.7457627118644
"2","electrical",49,30.0613496932515,83.0508474576271
"3","water",41,25.1533742331288,69.4915254237288
"4","communication",23,14.1104294478528,38.9830508474576
"5","other",0,0,0
"6","Total",163,100,276.271186440678
