"date","price_petrol_normalised","price_diesel_normalised","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","exchange_rate"
2018-01-12,400,447.5,120,100,140,100,535,1800,500
2019-01-01,410,410,117.5,120,130,100,527.5,1650,545
