"date","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","exchange_rate"
"12/1/2018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1/1/2019",2.49999999999999,-8.37988826815642,-2.08333333333334,20,-7.14285714285714,0,-1.4018691588785,-8.33333333333334,9.00000000000001
"2/1/2019",-20.7317073170732,-8.53658536585366,-6.38297872340425,-16.6666666666667,0,0,-5.21327014218009,-9.09090909090909,6.42201834862386
"3/1/2019",12.3076923076923,14.6666666666667,9.09090909090908,14.375,3.84615384615385,4.49999999999999,5,0,-1.63793103448275
