"mrk_increse_WASH_50","n","freq","mrk_increse_WASH_100"
"no",33,0.118279569892473,NA
"yes",246,0.881720430107527,NA
NA,136,0.487455197132616,"no"
NA,143,0.512544802867383,"yes"
