"mrk_increse_fuel_50","n","freq","mrk_increse_fuel_100"
"no",64,0.229390681003584,NA
"yes",215,0.770609318996416,NA
NA,169,0.60573476702509,"no"
NA,110,0.39426523297491,"yes"
